key,scouter,match,alliance,team,robot_move_in_auto,a-stop_activated,total_fuel_scored,speed_to_shoot_fuel,accuracy_to_shoot_fuel,number_of_fuel_scored,duirng_inactive_did_collect,during_inactive_did_pass,collect_from_alliance_zone,collect_from_neutral_zone,travel_over_bump,travel_under_trench,was_intake_good,defensive_whole_game,shot_from_same_position,grade_robot's_performance,result_of_match,energized_ranking_point,supercharged_ranking_point,traversal_ranking_point,total_points_scored,comments
1.Blue 1,Carter Silva ,1,b1,5528,1,-1,5,3,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,Hello World!
1.Blue 2,Carter Silva ,1,b2,1405,0,-1,4,2,1,5,0,1,0,0,1,0,1,0,0,3,-1,1,0,0,1,Hello World!
1.Blue 3,Connor Rapp ,1,b3,7030,1,-1,5,3,2,4,0,1,1,1,1,1,1,0,0,2,1,1,1,1,0,Hello World!
1.Red 1,Colby Jackson ,1,r1,810,0,1,2,3,2,4,1,0,0,1,0,1,0,1,1,2,0,0,0,0,0,Hello World!
1.Red 2,Jonah Woika ,1,r2,564,0,-1,1,3,3,2,1,1,0,0,0,0,0,0,0,-1,1,1,0,0,1,Hello World!
1.Red 3,Eli Harrison ,1,r3,10922,0,0,4,3,1,5,0,1,0,1,1,0,0,0,1,-1,-1,1,0,1,1,Hello World!
2.Blue 1,Caitlin Munier ,2,b1,1591,0,-1,1,2,1,5,1,1,1,1,1,1,0,1,1,4,0,1,1,1,0,Hello World!
2.Blue 2,Rachel Case ,2,b2,432,1,-1,4,2,1,5,0,1,1,1,1,0,0,1,0,3,-1,1,1,0,1,Hello World!
2.Blue 3,Rachel Case ,2,b3,1468,1,1,2,3,1,4,0,1,1,0,1,0,0,1,1,1,-1,0,1,0,0,Hello World!
2.Red 1,Nicholas Munier ,2,r1,1559,1,1,4,2,1,1,0,1,0,1,0,1,1,0,1,4,0,0,0,1,1,Hello World!
2.Red 2,Mason Silva ,2,r2,4253,1,0,3,2,1,5,1,0,0,1,1,1,1,0,1,4,0,1,0,1,1,Hello World!
2.Red 3,Gianmarco D'Angelo  ,2,r3,271,0,1,3,1,3,4,0,1,0,0,0,1,0,0,1,-1,-1,0,0,0,0,Hello World!
3.Blue 1,Kai  Wilbur ,3,b1,10223,1,-1,4,1,1,4,0,0,1,0,1,1,0,0,1,-1,0,0,0,1,1,Hello World!
